FREQ,TAG,NESTING,TYPE,isACCENT,SET,COLOR
14,input,+++++,semantic,accent,primary,#
4,select,+++++,semantic,,primary,#
30,label,++++,semantic,,primary,#
8,fieldset,+++,semantic,,secondary,#
2,form,+++,semantic,,secondary,#
24,div,+++,basic,,tretiary,#
2,link,+++,basic,,tretiary,#
4,section,++,semantic,,quaternary,#
2,textarea,++,semantic,,quaternary,#
2,header,++,semantic,,quaternary,#
2,footer,++,semantic,,quaternary,#
1,br,++,basic,,quaternary,#
16,span,++,basic,,quaternary,#
10,h,++,basic,,quaternary,#
8,a,++,basic,,quaternary,#
6,p,++,basic,,quaternary,#
3,img,++,basic,,quaternary,#
2,script,++,basic,,quaternary,#
3,html,+,basic,,quinary,#
2,head,+,basic,,quinary,#
2,meta,+,basic,,quinary,#
2,title,+,basic,,quinary,#
2,body,+,basic,,quinary,#
1,DOCTYPE,+,basic,,quintary,#
